video_name,tag
actioncliptest00127.avi,AnswerPhone
actioncliptest00132.avi,AnswerPhone
actioncliptest00135.avi,AnswerPhone
actioncliptest00143.avi,AnswerPhone
actioncliptest00148.avi,AnswerPhone
actioncliptest00161.avi,AnswerPhone
actioncliptest00173.avi,AnswerPhone
actioncliptest00174.avi,AnswerPhone
actioncliptest00239.avi,AnswerPhone
actioncliptest00253.avi,AnswerPhone
actioncliptest00278.avi,AnswerPhone
actioncliptest00341.avi,AnswerPhone
actioncliptest00342.avi,AnswerPhone
actioncliptest00351.avi,AnswerPhone
actioncliptest00356.avi,AnswerPhone
actioncliptest00357.avi,AnswerPhone
actioncliptest00358.avi,AnswerPhone
actioncliptest00360.avi,AnswerPhone
actioncliptest00367.avi,AnswerPhone
actioncliptest00368.avi,AnswerPhone
actioncliptest00374.avi,AnswerPhone
actioncliptest00443.avi,AnswerPhone
actioncliptest00449.avi,AnswerPhone
actioncliptest00469.avi,AnswerPhone
actioncliptest00474.avi,AnswerPhone
actioncliptest00483.avi,AnswerPhone
actioncliptest00486.avi,AnswerPhone
actioncliptest00489.avi,AnswerPhone
actioncliptest00490.avi,AnswerPhone
actioncliptest00491.avi,AnswerPhone
actioncliptest00492.avi,AnswerPhone
actioncliptest00493.avi,AnswerPhone
actioncliptest00531.avi,AnswerPhone
actioncliptest00532.avi,AnswerPhone
actioncliptest00565.avi,AnswerPhone
actioncliptest00581.avi,AnswerPhone
actioncliptest00586.avi,AnswerPhone
actioncliptest00591.avi,AnswerPhone
actioncliptest00609.avi,AnswerPhone
actioncliptest00631.avi,AnswerPhone
actioncliptest00633.avi,AnswerPhone
actioncliptest00634.avi,AnswerPhone
actioncliptest00638.avi,AnswerPhone
actioncliptest00644.avi,AnswerPhone
actioncliptest00645.avi,AnswerPhone
actioncliptest00646.avi,AnswerPhone
actioncliptest00647.avi,AnswerPhone
actioncliptest00648.avi,AnswerPhone
actioncliptest00649.avi,AnswerPhone
actioncliptest00657.avi,AnswerPhone
actioncliptest00658.avi,AnswerPhone
actioncliptest00672.avi,AnswerPhone
actioncliptest00673.avi,AnswerPhone
actioncliptest00755.avi,AnswerPhone
actioncliptest00765.avi,AnswerPhone
actioncliptest00766.avi,AnswerPhone
actioncliptest00773.avi,AnswerPhone
actioncliptest00790.avi,AnswerPhone
actioncliptest00836.avi,AnswerPhone
actioncliptest00847.avi,AnswerPhone
actioncliptest00860.avi,AnswerPhone
actioncliptest00884.avi,AnswerPhone
actioncliptest00103.avi,DriveCar
actioncliptest00107.avi,DriveCar
actioncliptest00126.avi,DriveCar
actioncliptest00128.avi,DriveCar
actioncliptest00129.avi,DriveCar
actioncliptest00133.avi,DriveCar
actioncliptest00139.avi,DriveCar
actioncliptest00146.avi,DriveCar
actioncliptest00154.avi,DriveCar
actioncliptest00155.avi,DriveCar
actioncliptest00158.avi,DriveCar
actioncliptest00160.avi,DriveCar
actioncliptest00162.avi,DriveCar
actioncliptest00164.avi,DriveCar
actioncliptest00165.avi,DriveCar
actioncliptest00167.avi,DriveCar
actioncliptest00168.avi,DriveCar
actioncliptest00169.avi,DriveCar
actioncliptest00171.avi,DriveCar
actioncliptest00172.avi,DriveCar
actioncliptest00176.avi,DriveCar
actioncliptest00184.avi,DriveCar
actioncliptest00202.avi,DriveCar
actioncliptest00203.avi,DriveCar
actioncliptest00204.avi,DriveCar
actioncliptest00205.avi,DriveCar
